# MEAN_SAMPLE_SIZE = 4338
# TOTAL_GENES = 18300
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GOBP_EXTRACELLULAR_TRANSPORT             SET      34     0.068354    0.0029437      0.15821      0.33286 GOBP_EXTRACELLULAR_TRANSPORT
GOBP_NUCLEOTIDE_TRANSPORT                SET      29     0.023655   0.00094096      0.16019       0.4413 GOBP_NUCLEOTIDE_TRANSPORT
GOBP_AMINO_ACID_TRANSPORT                SET     142     0.056795    0.0049837     0.071897      0.21478 GOBP_AMINO_ACID_TRANSPORT
GOBP_GLUTAMINE_TRANSPORT                 SET       8     -0.31805   -0.0066486      0.31287      0.84531 GOBP_GLUTAMINE_TRANSPORT
GOBP_CELLULAR_ION_HOMEOSTASIS            SET     628     0.049506    0.0090124     0.034385     0.074978 GOBP_CELLULAR_ION_HOMEOSTASIS
GOBP_CELLULAR_COPPER_ION_HOM...          SET      12      -0.1376   -0.0035226      0.26519      0.69807 GOBP_CELLULAR_COPPER_ION_HOMEOSTASIS
GOBP_CELLULAR_IRON_ION_HOMEO...          SET      62     0.075018    0.0043592       0.1052       0.2379 GOBP_CELLULAR_IRON_ION_HOMEOSTASIS
GOBP_CELLULAR_SODIUM_ION_HOM...          SET      18      0.31427    0.0098516      0.19947      0.05758 GOBP_CELLULAR_SODIUM_ION_HOMEOSTASIS
GOBP_CELL_VOLUME_HOMEOSTASIS             SET      28     -0.20091    -0.007853      0.15296      0.90548 GOBP_CELL_VOLUME_HOMEOSTASIS
GOBP_REGULATION_OF_PH                    SET      97      0.13219    0.0095987      0.08872     0.068129 GOBP_REGULATION_OF_PH
GOBP_INTRACELLULAR_PROTEIN_T...          SET    1095      0.03682    0.0087333     0.026151     0.079583 GOBP_INTRACELLULAR_PROTEIN_TRANSPORT
GOBP_EXOCYTOSIS                          SET     846  -0.00090589  -0.00019022      0.02931      0.51233 GOBP_EXOCYTOSIS
GOBP_ENDOPLASMIC_RETICULUM_T...2         SET     196   -0.0039235  -0.00040387     0.059671      0.52621 GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT
GOBP_RETROGRADE_VESICLE_MEDI...          SET      84     0.082177    0.0055549      0.08911      0.17822 GOBP_RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ENDOPLASMIC_RETICULUM
GOBP_INTRA_GOLGI_VESICLE_MED...          SET      33     0.012613   0.00053514      0.15635      0.46785 GOBP_INTRA_GOLGI_VESICLE_MEDIATED_TRANSPORT
GOBP_POST_GOLGI_VESICLE_MEDI...          SET     101     0.075738    0.0056113     0.081118      0.17524 GOBP_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT
GOBP_GOLGI_TO_PLASMA_MEMBRAN...2         SET      57    0.0015066   8.3953e-05      0.10947      0.49451 GOBP_GOLGI_TO_PLASMA_MEMBRANE_TRANSPORT
GOBP_GOLGI_TO_ENDOSOME_TRANS...          SET      17      0.17599    0.0053616      0.19313       0.1811 GOBP_GOLGI_TO_ENDOSOME_TRANSPORT
GOBP_GOLGI_TO_VACUOLE_TRANSP...          SET      19      0.26235    0.0084491      0.19838     0.093024 GOBP_GOLGI_TO_VACUOLE_TRANSPORT
GOBP_ENDOCYTOSIS                         SET     548    -0.022154    -0.003776     0.035908      0.73137 GOBP_ENDOCYTOSIS
GOBP_RECEPTOR_MEDIATED_ENDOC...1         SET     254    -0.036724   -0.0042965     0.052019      0.75989 GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS
GOBP_VESICLE_BUDDING_FROM_ME...          SET     104    0.0047135   0.00035433     0.081529      0.47695 GOBP_VESICLE_BUDDING_FROM_MEMBRANE
GOBP_VESICLE_TARGETING                   SET      90     0.054351    0.0038023     0.086076      0.26389 GOBP_VESICLE_TARGETING
GOBP_VESICLE_DOCKING_INVOLVE...          SET      44     -0.23004    -0.011267      0.12404      0.96817 GOBP_VESICLE_DOCKING_INVOLVED_IN_EXOCYTOSIS
GOBP_PINOCYTOSIS                         SET      22      0.07525    0.0026076      0.17578       0.3343 GOBP_PINOCYTOSIS
GOBP_PHAGOCYTOSIS                        SET     262    -0.054823   -0.0065128     0.051913      0.85452 GOBP_PHAGOCYTOSIS
GOBP_PHAGOCYTOSIS_RECOGNITION            SET      25     0.018125   0.00066948      0.18763      0.46152 GOBP_PHAGOCYTOSIS_RECOGNITION
GOBP_APOPTOTIC_PROCESS                   SET    1753     0.032996    0.0097111     0.021075     0.058726 GOBP_APOPTOTIC_PROCESS
GOBP_ACTIVATION_OF_CYSTEINE_...2         SET      84     0.026021     0.001759       0.1001      0.39745 GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS
GOBP_CELLULAR_COMPONENT_DISA...2         SET      34      0.18519    0.0079752      0.15399      0.11457 GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS
GOBP_ACTIVATION_INDUCED_CELL...          SET       8      0.46343    0.0096877      0.22861     0.021331 GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS
GOBP_INFLAMMATORY_CELL_APOPT...          SET      20      0.12224    0.0040392      0.17932      0.24772 GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS
GOBP_SUBSTRATE_DEPENDENT_CEL...1         SET      23      0.06206    0.0021988       0.1767      0.36271 GOBP_SUBSTRATE_DEPENDENT_CELL_MIGRATION
GOBP_SUBSTRATE_DEPENDENT_CEL...2         SET       8       0.1615     0.003376      0.28996      0.28878 GOBP_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION
GOBP_MUSCLE_CONTRACTION                  SET     331     0.025856    0.0034459     0.048109      0.29548 GOBP_MUSCLE_CONTRACTION
GOBP_REGULATION_OF_MUSCLE_CO...          SET     148    -0.017929   -0.0016059     0.073259      0.59667 GOBP_REGULATION_OF_MUSCLE_CONTRACTION
GOBP_SMOOTH_MUSCLE_CONTRACTI...          SET      96      -0.1352   -0.0097668     0.086839      0.94024 GOBP_SMOOTH_MUSCLE_CONTRACTION
GOBP_REGULATION_OF_SMOOTH_MU...3         SET      55    -0.042228   -0.0023116      0.11562      0.64253 GOBP_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION
GOBP_STRIATED_MUSCLE_CONTRAC...          SET     161       0.1155     0.010786     0.070096      0.04971 GOBP_STRIATED_MUSCLE_CONTRACTION
GOBP_REGULATION_OF_STRIATED_...2         SET      83    -0.048387   -0.0032514       0.1002      0.68541 GOBP_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION
GOBP_SYNCYTIUM_FORMATION                 SET      54      0.12884    0.0069884      0.11346      0.12808 GOBP_SYNCYTIUM_FORMATION
GOBP_DEFENSE_RESPONSE                    SET    1559    0.0062275    0.0017385     0.023167      0.39404 GOBP_DEFENSE_RESPONSE
GOBP_ACUTE_PHASE_RESPONSE                SET      45    -0.067811   -0.0033586      0.12117      0.71212 GOBP_ACUTE_PHASE_RESPONSE
GOBP_INFLAMMATORY_RESPONSE               SET     688    -0.015932   -0.0030306     0.032999      0.68538 GOBP_INFLAMMATORY_RESPONSE
GOBP_COMPLEMENT_ACTIVATION               SET      63     0.020568    0.0012048      0.11902       0.4314 GOBP_COMPLEMENT_ACTIVATION
GOBP_COMPLEMENT_ACTIVATION_A...          SET      13      0.18632    0.0049644      0.22586      0.20471 GOBP_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY
GOBP_HUMORAL_IMMUNE_RESPONSE             SET     250    -0.050239   -0.0058319     0.059721      0.79988 GOBP_HUMORAL_IMMUNE_RESPONSE
GOBP_CELLULAR_DEFENSE_RESPON...          SET      52    0.0049379   0.00026285      0.10762       0.4817 GOBP_CELLULAR_DEFENSE_RESPONSE
GOBP_RESPONSE_TO_OSMOTIC_STR...          SET      78     0.072207    0.0047042     0.092726      0.21808 GOBP_RESPONSE_TO_OSMOTIC_STRESS
GOBP_HYPOTONIC_RESPONSE                  SET      10     -0.31285   -0.0073115      0.27095      0.87587 GOBP_HYPOTONIC_RESPONSE
GOBP_HYPEROSMOTIC_RESPONSE               SET      25      0.24323    0.0089842      0.15889     0.062922 GOBP_HYPEROSMOTIC_RESPONSE
GOBP_CELLULAR_RESPONSE_TO_DN...          SET     823      0.03023    0.0062653      0.03027      0.15898 GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS
GOBP_DNA_DAMAGE_INDUCED_PROT...          SET       8   -0.0035009  -7.3184e-05      0.40607      0.50344 GOBP_DNA_DAMAGE_INDUCED_PROTEIN_PHOSPHORYLATION
GOBP_RESPONSE_TO_OXIDATIVE_S...          SET     410    -0.024945   -0.0036918     0.041695      0.72516 GOBP_RESPONSE_TO_OXIDATIVE_STRESS
GOBP_ER_OVERLOAD_RESPONSE                SET      12      -0.2574   -0.0065894      0.22163      0.87725 GOBP_ER_OVERLOAD_RESPONSE
GOBP_ER_NUCLEUS_SIGNALING_PA...          SET      52     -0.10741   -0.0057177      0.11165      0.83197 GOBP_ER_NUCLEUS_SIGNALING_PATHWAY
GOBP_RESPONSE_TO_STEROL_DEPL...          SET      18    -0.060874   -0.0019083       0.1818      0.63113 GOBP_RESPONSE_TO_STEROL_DEPLETION
GOBP_CELLULAR_RESPONSE_TO_NI...3         SET      12       0.3393    0.0086859      0.28726      0.11878 GOBP_CELLULAR_RESPONSE_TO_NITROGEN_STARVATION
GOBP_NUCLEUS_ORGANIZATION                SET     120    0.0065526   0.00052888     0.076021      0.46566 GOBP_NUCLEUS_ORGANIZATION
GOBP_NUCLEAR_ENVELOPE_ORGANI...          SET      51    -0.029813   -0.0015717      0.11412      0.60305 GOBP_NUCLEAR_ENVELOPE_ORGANIZATION
GOBP_NUCLEAR_PORE_ORGANIZATI...          SET      14     -0.16592   -0.0045876      0.24165      0.75383 GOBP_NUCLEAR_PORE_ORGANIZATION
GOBP_NUCLEOLUS_ORGANIZATION              SET       6      0.42816    0.0077516      0.45961      0.17579 GOBP_NUCLEOLUS_ORGANIZATION
GOBP_MITOCHONDRION_ORGANIZAT...          SET     507     0.040954    0.0067218     0.038266      0.14226 GOBP_MITOCHONDRION_ORGANIZATION
GOBP_MITOCHONDRIAL_MEMBRANE_...          SET     133    0.0037555     0.000319     0.071664       0.4791 GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION
GOBP_INNER_MITOCHONDRIAL_MEM...          SET      51     0.090903    0.0047923        0.115      0.21464 GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION
GOBP_OUTER_MITOCHONDRIAL_MEM...          SET       5      0.69872     0.011548      0.44126     0.056672 GOBP_OUTER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION
GOBP_PLASMA_MEMBRANE_ORGANIZ...          SET     107     0.084559    0.0064471     0.082785      0.15354 GOBP_PLASMA_MEMBRANE_ORGANIZATION
GOBP_CYTOSKELETON_ORGANIZATI...          SET    1304    0.0015496   0.00039866     0.024339      0.47462 GOBP_CYTOSKELETON_ORGANIZATION
GOBP_ACTIN_FILAMENT_ORGANIZA...          SET     408     0.048853     0.007213      0.04192      0.12194 GOBP_ACTIN_FILAMENT_ORGANIZATION
GOBP_MICROTUBULE_BASED_PROCE...          SET     803     0.042522      0.00871     0.030587     0.082244 GOBP_MICROTUBULE_BASED_PROCESS
GOBP_MICROTUBULE_BASED_MOVEM...          SET     355     0.049382    0.0068111     0.044586      0.13403 GOBP_MICROTUBULE_BASED_MOVEMENT
GOBP_MICROTUBULE_DEPOLYMERIZ...          SET      41      0.26588     0.012571      0.12031     0.013561 GOBP_MICROTUBULE_DEPOLYMERIZATION
GOBP_MICROTUBULE_NUCLEATION              SET      27     0.065132       0.0025      0.16449      0.34607 GOBP_MICROTUBULE_NUCLEATION
GOBP_TUBULIN_COMPLEX_ASSEMBLY            SET       8      0.15144    0.0031658      0.29795      0.30563 GOBP_TUBULIN_COMPLEX_ASSEMBLY
GOBP_POST_CHAPERONIN_TUBULIN...          SET       5      0.13742    0.0022712      0.36738      0.35419 GOBP_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY
GOBP_CYTOPLASM_ORGANIZATION              SET      11    -0.084085    -0.002061      0.24513      0.63421 GOBP_CYTOPLASM_ORGANIZATION
GOBP_ENDOPLASMIC_RETICULUM_O...          SET      82    -0.039617   -0.0026461     0.091749      0.66705 GOBP_ENDOPLASMIC_RETICULUM_ORGANIZATION
GOBP_GOLGI_ORGANIZATION                  SET     135     0.056703    0.0048523     0.071143      0.21272 GOBP_GOLGI_ORGANIZATION
GOBP_PEROXISOME_ORGANIZATION             SET      81    -0.079719   -0.0052921     0.091173      0.80903 GOBP_PEROXISOME_ORGANIZATION
GOBP_ENDOSOME_ORGANIZATION               SET      77     0.073138    0.0047343     0.093916      0.21807 GOBP_ENDOSOME_ORGANIZATION
GOBP_VACUOLE_ORGANIZATION                SET     165     0.056827    0.0053717     0.066173      0.19524 GOBP_VACUOLE_ORGANIZATION
GOBP_VACUOLAR_TRANSPORT                  SET     145      0.12898     0.011436     0.071708      0.03604 GOBP_VACUOLAR_TRANSPORT
GOBP_VACUOLAR_ACIDIFICATION              SET      22       0.1001    0.0034688      0.18985        0.299 GOBP_VACUOLAR_ACIDIFICATION
GOBP_PROTEIN_CATABOLIC_PROCE...2         SET      16     -0.23252   -0.0068726      0.19324      0.88556 GOBP_PROTEIN_CATABOLIC_PROCESS_IN_THE_VACUOLE
GOBP_LYSOSOMAL_TRANSPORT                 SET     104     0.086925    0.0065345     0.083206      0.14809 GOBP_LYSOSOMAL_TRANSPORT
GOBP_LYSOSOMAL_LUMEN_ACIDIFI...          SET       9     -0.12024    -0.002666      0.32018      0.64637 GOBP_LYSOSOMAL_LUMEN_ACIDIFICATION
GOBP_CELL_CELL_JUNCTION_ASSE...          SET     139     0.054889    0.0047656     0.072134      0.22336 GOBP_CELL_CELL_JUNCTION_ASSEMBLY
GOBP_CELL_CYCLE                          SET    1742     0.010526    0.0030891     0.020936      0.30758 GOBP_CELL_CYCLE
GOBP_CELL_CYCLE_ARREST                   SET     226     0.042388    0.0046815     0.053558      0.21435 GOBP_CELL_CYCLE_ARREST
GOBP_SPINDLE_ORGANIZATION                SET     170    -0.064958   -0.0062318     0.066384      0.83608 GOBP_SPINDLE_ORGANIZATION
GOBP_MITOTIC_SPINDLE_ORGANIZ...          SET     109    -0.020321   -0.0015637       0.0829      0.59682 GOBP_MITOTIC_SPINDLE_ORGANIZATION
GOBP_CHROMOSOME_SEGREGATION              SET     315     0.034324    0.0044644     0.047304      0.23405 GOBP_CHROMOSOME_SEGREGATION
GOBP_SISTER_CHROMATID_COHESI...          SET      51    -0.024445   -0.0012887      0.11809        0.582 GOBP_SISTER_CHROMATID_COHESION
GOBP_REGULATION_OF_SISTER_CH...          SET      19      0.13732    0.0044224      0.17602      0.21766 GOBP_REGULATION_OF_SISTER_CHROMATID_COHESION
GOBP_MITOTIC_SISTER_CHROMATI...1         SET      24     0.040963    0.0014825      0.16394      0.40135 GOBP_MITOTIC_SISTER_CHROMATID_COHESION
GOBP_MITOTIC_CHROMOSOME_COND...          SET      15         0.41     0.011734       0.2339     0.039825 GOBP_MITOTIC_CHROMOSOME_CONDENSATION
GOBP_MITOTIC_NUCLEAR_ENVELOP...          SET      12     -0.44636    -0.011427      0.23485      0.97131 GOBP_MITOTIC_NUCLEAR_ENVELOPE_DISASSEMBLY
GOBP_MITOTIC_METAPHASE_PLATE...          SET      49     -0.12418   -0.0064174      0.12597      0.83787 GOBP_MITOTIC_METAPHASE_PLATE_CONGRESSION
GOBP_REGULATION_OF_MITOTIC_N...          SET     109     -0.20907    -0.016088     0.082842      0.99419 GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION
GOBP_MITOTIC_CELL_CYCLE_CHEC...          SET     156    -0.023992   -0.0022057     0.067903      0.63807 GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT
GOBP_MITOTIC_G2_DNA_DAMAGE_C...          SET      22      0.28681    0.0099386      0.18937     0.064958 GOBP_MITOTIC_G2_DNA_DAMAGE_CHECKPOINT
GOBP_REGULATION_OF_EXIT_FROM...          SET      15      0.30682    0.0087807      0.22317     0.084605 GOBP_REGULATION_OF_EXIT_FROM_MITOSIS
GOBP_NUCLEAR_MIGRATION                   SET      19    -0.088513   -0.0028506      0.18855      0.68062 GOBP_NUCLEAR_MIGRATION
GOBP_HOMOLOGOUS_CHROMOSOME_P...          SET      48   -0.0030454  -0.00015577      0.11496      0.51057 GOBP_HOMOLOGOUS_CHROMOSOME_PAIRING_AT_MEIOSIS
GOBP_MALE_MEIOTIC_NUCLEAR_DI...          SET      45      0.15421    0.0076381      0.11554     0.090995 GOBP_MALE_MEIOTIC_NUCLEAR_DIVISION
GOBP_MALE_MEIOSIS_I                      SET      23     0.065786    0.0023308      0.14906      0.32949 GOBP_MALE_MEIOSIS_I
GOBP_FEMALE_MEIOTIC_NUCLEAR_...          SET      27     0.045621    0.0017511       0.1618      0.38899 GOBP_FEMALE_MEIOTIC_NUCLEAR_DIVISION
GOBP_FEMALE_MEIOSIS_I                    SET       9     -0.25419   -0.0056358      0.30145      0.80044 GOBP_FEMALE_MEIOSIS_I
GOBP_HOMOPHILIC_CELL_ADHESIO...          SET     160      0.01811     0.001686     0.088383      0.41882 GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES
GOBP_HETEROPHILIC_CELL_CELL_...          SET      45    -0.082315    -0.004077      0.13838      0.72403 GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES
GOBP_NEURON_CELL_CELL_ADHESI...          SET      14     -0.37467    -0.010359      0.22062      0.95526 GOBP_NEURON_CELL_CELL_ADHESION
GOBP_LEUKOCYTE_CELL_CELL_ADH...          SET     341    -0.040855   -0.0055249     0.045077      0.81761 GOBP_LEUKOCYTE_CELL_CELL_ADHESION
GOBP_CELL_MATRIX_ADHESION                SET     218   -0.0076014  -0.00082472     0.054504      0.55546 GOBP_CELL_MATRIX_ADHESION
GOBP_NEGATIVE_REGULATION_OF_...104       SET     266    0.0065698   0.00078632     0.050834      0.44858 GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION
GOBP_ESTABLISHMENT_OR_MAINTE...2         SET     206     0.036601    0.0038615     0.059299      0.26855 GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY
GOBP_ESTABLISHMENT_OF_TISSUE...          SET     119      0.11715    0.0094166     0.078392     0.067542 GOBP_ESTABLISHMENT_OF_TISSUE_POLARITY
GOBP_ENZYME_LINKED_RECEPTOR_...          SET    1001    -0.025559    -0.005812      0.02737      0.82479 GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY
GOBP_RECEPTOR_GUANYLYL_CYCLA...          SET       9     0.031555   0.00069963        0.285      0.45592 GOBP_RECEPTOR_GUANYLYL_CYCLASE_SIGNALING_PATHWAY
GOBP_TRANSMEMBRANE_RECEPTOR_...2         SET     694    -0.041381   -0.0079045     0.032404       0.8992 GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY
GOBP_ACTIVATION_OF_TRANSMEMB...          SET      13     -0.14424   -0.0038431      0.24294      0.72364 GOBP_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY
GOBP_SIGNAL_COMPLEX_ASSEMBLY             SET       8      0.37642    0.0078688      0.30241      0.10662 GOBP_SIGNAL_COMPLEX_ASSEMBLY
GOBP_EPIDERMAL_GROWTH_FACTOR...          SET     118     0.034095    0.0027291     0.077305      0.32959 GOBP_EPIDERMAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...213       SET      14      0.49573     0.013707      0.22521     0.013871 GOBP_NEGATIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY
GOBP_REGULATION_OF_EPIDERMAL...          SET      30      0.16012    0.0064778      0.15382      0.14896 GOBP_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY
GOBP_TRANSMEMBRANE_RECEPTOR_...1         SET     330     0.011892    0.0015825     0.046964      0.40005 GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY
GOBP_TRANSFORMING_GROWTH_FAC...6         SET     185     0.098624    0.0098662     0.061566     0.054597 GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY
GOBP_COMMON_PARTNER_SMAD_PRO...          SET       5      0.20432     0.003377      0.52409      0.34832 GOBP_COMMON_PARTNER_SMAD_PROTEIN_PHOSPHORYLATION
GOBP_SMAD_PROTEIN_COMPLEX_AS...          SET      13       0.3612     0.009624      0.23918     0.065509 GOBP_SMAD_PROTEIN_COMPLEX_ASSEMBLY
GOBP_TRANSMEMBRANE_RECEPTOR_...3         SET       6     -0.48161   -0.0087193      0.32192      0.93267 GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_PHOSPHATASE_SIGNALING_PATHWAY
GOBP_G_PROTEIN_COUPLED_RECEP...2         SET    1237     0.019441    0.0048807     0.028505      0.24762 GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY
GOBP_G_PROTEIN_COUPLED_RECEP...3         SET      63    -0.077612   -0.0045461      0.10415      0.77192 GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER
GOBP_ADENYLATE_CYCLASE_MODUL...          SET     221    -0.020477   -0.0022367     0.058118       0.6377 GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY
GOBP_ADENYLATE_CYCLASE_ACTIV...4         SET     137    0.0029001   0.00024999     0.075415      0.48466 GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY
GOBP_ACTIVATION_OF_ADENYLATE...          SET      37      0.13669    0.0061403      0.14369      0.17074 GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY
GOBP_ADENYLATE_CYCLASE_ACTIV...3         SET      10     -0.21335    -0.004986      0.25737      0.79642 GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY
GOBP_ADENYLATE_CYCLASE_INHIB...4         SET      82   -0.0079218  -0.00052911     0.090674      0.53481 GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...13        SET      19    -0.072058   -0.0023207      0.19261      0.64584 GOBP_NEGATIVE_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVITY
GOBP_ADENYLATE_CYCLASE_INHIB...1         SET       5     -0.22177   -0.0036653      0.38254      0.71894 GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY
GOBP_ADENYLATE_CYCLASE_INHIB...3         SET       7    -0.068954   -0.0013484      0.31967      0.58539 GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY
GOBP_ADENYLATE_CYCLASE_INHIB...2         SET       8     -0.27171   -0.0056799      0.23977      0.87142 GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY
GOBP_ADENYLATE_CYCLASE_INHIB...5         SET       7      0.69734     0.013636      0.36089     0.026673 GOBP_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY
GOBP_PHOSPHOLIPASE_C_ACTIVAT...2         SET      94     0.021981    0.0015713     0.084406      0.39727 GOBP_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY
GOBP_ACTIVATION_OF_PHOSPHOLI...1         SET      31     -0.41432    -0.017039      0.14895      0.99729 GOBP_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY
GOBP_PROTEIN_KINASE_C_ACTIVA...          SET      27    -0.041532   -0.0015942       0.1408      0.61599 GOBP_PROTEIN_KINASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY
GOBP_SEROTONIN_RECEPTOR_SIGN...          SET      36    0.0020657   9.1535e-05      0.13858      0.49405 GOBP_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY
GOBP_DOPAMINE_RECEPTOR_SIGNA...          SET      39     0.025248    0.0011643      0.13697      0.42688 GOBP_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY
GOBP_G_PROTEIN_COUPLED_ACETY...          SET      19      0.10776    0.0034705      0.17483      0.26883 GOBP_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY
GOBP_GAMMA_AMINOBUTYRIC_ACID...2         SET      25      0.26845    0.0099158      0.17643     0.064063 GOBP_GAMMA_AMINOBUTYRIC_ACID_SIGNALING_PATHWAY
GOBP_GLUTAMATE_RECEPTOR_SIGN...          SET      50     -0.08085   -0.0042204      0.12168       0.7468 GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY
GOBP_G_PROTEIN_COUPLED_GLUTA...          SET      15    -0.045451   -0.0013008      0.21355      0.58427 GOBP_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY
GOBP_TACHYKININ_RECEPTOR_SIG...          SET       8      0.38448    0.0080374      0.28791     0.090881 GOBP_TACHYKININ_RECEPTOR_SIGNALING_PATHWAY
GOBP_NEUROPEPTIDE_SIGNALING_...          SET      97      -0.0756   -0.0054896     0.085424      0.81191 GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY
GOBP_NOTCH_SIGNALING_PATHWAY             SET     178     0.052575      0.00516     0.060108      0.19089 GOBP_NOTCH_SIGNALING_PATHWAY
GOBP_NOTCH_RECEPTOR_PROCESSI...1         SET      10     -0.19887   -0.0046477      0.22643       0.8101 GOBP_NOTCH_RECEPTOR_PROCESSING
GOBP_POSITIVE_REGULATION_OF_...792       SET      18       0.2179    0.0068308      0.18179      0.11535 GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_OF_NOTCH_RECEPTOR_TARGET
GOBP_WNT_SIGNALING_PATHWAY_C...          SET      38      0.07379    0.0033591      0.13171      0.28766 GOBP_WNT_SIGNALING_PATHWAY_CALCIUM_MODULATING_PATHWAY
GOBP_SMOOTHENED_SIGNALING_PA...1         SET     126    -0.031408   -0.0025972     0.075364      0.66156 GOBP_SMOOTHENED_SIGNALING_PATHWAY
GOBP_INTEGRIN_MEDIATED_SIGNA...          SET     103    -0.052633   -0.0039377     0.084594      0.73308 GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY
GOBP_I_KAPPAB_KINASE_NF_KAPP...          SET     262     0.079013    0.0093865     0.053147     0.068561 GOBP_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING
